example_id                                                   | status | run_time        |
./spec/models/user_spec.rb[1:25:1]                           | passed | 0.00871 seconds |
./spec/models/user_spec.rb[1:26:1:1]                         | passed | 0.01017 seconds |
./spec/models/user_spec.rb[1:26:2:1]                         | passed | 0.00951 seconds |
./spec/models/user_spec.rb[1:26:2:2]                         | passed | 0.02715 seconds |
./spec/models/user_spec.rb[1:27:1]                           | passed | 0.01542 seconds |
./spec/models/user_spec.rb[1:28:1]                           | passed | 0.03509 seconds |
./spec/models/user_spec.rb[1:28:2]                           | passed | 0.03986 seconds |
./spec/models/user_spec.rb[1:28:3:1]                         | passed | 0.12236 seconds |
./spec/models/user_spec.rb[1:29:1]                           | passed | 0.02688 seconds |
./spec/models/user_spec.rb[1:29:2]                           | passed | 0.02403 seconds |
./spec/models/user_spec.rb[1:29:3:1]                         | passed | 0.02863 seconds |
